eventID,time_start,time_end,Duration,event,details,wikipedia,mnemonic,itemDifficulty,categories,America,Europe,Asia,Africa,China,Discovery,Britain,France,Greek,India,Invention,MiddleEast,prehistory,Religion,Roman,Royalty,Russia,Science,Wars,World,diffCat,NumYearStart,NumYearEnd
161,1300,1945,645,Sultanate of Gowa,,Sultanate of Gowa,,10,,,,,,,,,,,,,,,,,,,,,,H,1300,1945
162,1336,1646,310,Vijayanagara Empire,,Vijayanagara Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1336,1646
163,1340,1591,251,Songhai Empire,,Songhai Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1340,1591
164,1346,1371,25,Serbian Empire,,Serbian Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1346,1371
165,1350,1549,199,Jolof Empire,,Jolof Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1350,1549
166,1352,1576,224,Bengal Sultanate,,Bengal Sultanate,,10,,,,,,,,,,,,,,,,,,,,,,H,1352,1576
167,1356,1648,292,Hanseatic League,,Hanseatic League,,10,,,,,,,,,,,,,,,,,,,,,,H,1356,1648
168,1364,1477,113,Burgundian State,,Burgundian State,,10,,,,,,,,,,,,,,,,,,,,,,H,1364,1477
169,1368,1888,520,Bruneian Empire,,Bruneian Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1368,1888
170,1368,1644,276,Ming dynasty,,Ming dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,1368,1644
171,1368,1635,267,Northern Yuan dynasty,,Northern Yuan dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,1368,1635
172,1370,1526,156,Timurid Empire,,Timurid Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1370,1526
173,1378,1468,90,Qara Qoyunlu,,Qara Qoyunlu,,10,,,,,,,,,,,,,,,,,,,,,,H,1378,1468
174,1378,1503,125,Aq Qoyunlu,,Aq Qoyunlu,,10,,,,,,,,,,,,,,,,,,,,,,H,1378,1503
175,1387,1893,506,Bornu Empire,,Bornu Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1387,1893
176,1392,1897,505,Joseon,,Joseon,,10,,,,,,,,,,,,,,,,,,,,,,H,1392,1897
177,1397,1523,126,Kalmar Union,,Kalmar Union,,10,,,,,,,,,,,,,,,,,,,,,,H,1397,1523
178,1399,1950,551,Wadiyar dynasty (Kingdom of Mysore),,Wadiyar dynasty (Kingdom of Mysore),,10,,,,,,,,,,,,,,,,,,,,,,H,1399,1950
179,1400,1905,505,Oyo Empire,,Oyo Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1400,1905
180,1400,1511,111,Malacca Empire,,Malacca Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1400,1511
181,1405,1915,510,Sultanate of Sulu,,Sultanate of Sulu,,10,,,,,,,,,,,,,,,,,,,,,,H,1405,1915
182,1415,1999,584,Portuguese Empire,,Portuguese Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1415,1999
183,1416,1713,297,Duchy of Savoy,,Duchy of Savoy,,10,,,,,,,,,,,,,,,,,,,,,,H,1416,1713
184,1428,1521,93,Aztec Empire,,Aztec Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1428,1521
185,1428,1471,43,Uzbek Khanate,,Uzbek Khanate,,10,,,,,,,,,,,,,,,,,,,,,,H,1428,1471
186,1428,1789,361,Later L  dynasty,,Later L  dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,1428,1789
187,1438,1533,95,Inca Empire (Tawantinsuyo),,Inca Empire (Tawantinsuyo),,10,,,,,,,,,,,,,,,,,,,,,,H,1438,1533
188,1440,1897,457,Benin Empire,,Benin Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1440,1897
189,1441,1783,342,Crimean Khanate,,Crimean Khanate,,10,,,,,,,,,,,,,,,,,,,,,,H,1441,1783
190,1451,1526,75,Lodi Sultanate,,Lodi Sultanate,,10,,,,,,,,,,,,,,,,,,,,,,H,1451,1526
191,1465,1847,382,Kazakh Khanate,,Kazakh Khanate,,10,,,,,,,,,,,,,,,,,,,,,,H,1465,1847
192,1472,1554,82,Wattasids,,Wattasids,,10,,,,,,,,,,,,,,,,,,,,,,H,1472,1554
193,1475,1568,93,Demak Sultanate,,Demak Sultanate,,10,,,,,,,,,,,,,,,,,,,,,,H,1475,1568
194,1479,1975,496,Spanish Empire,,Spanish Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1479,1975
195,1480,1721,241,Tsardom of Russia,,Tsardom of Russia,,6,,,,,,,,,,,,,,,,,,,,,,M,1480,1721
196,1496,1903,407,Aceh Sultanate,,Aceh Sultanate,,10,,,,,,,,,,,,,,,,,,,,,,H,1496,1903
197,1501,1736,235,Safavid dynasty,,Safavid dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,1501,1736
198,1505,1867,362,Akwamu,,Akwamu,,10,,,,,,,,,,,,,,,,,,,,,,H,1505,1867
199,1506,1785,279,Bukhara Empire,,Bukhara Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1506,1785
200,1510,1752,242,Toungoo dynasty,,Toungoo dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,1510,1752
201,1514,1776,262,Empire of Great Fulo,,Empire of Great Fulo,,10,,,,,,,,,,,,,,,,,,,,,,H,1514,1776
202,1520,1905,385,Sultanate of Banjar,,Sultanate of Banjar,,10,,,,,,,,,,,,,,,,,,,,,,H,1520,1905
203,1526,1813,287,Banten Sultanate,,Banten Sultanate,,10,,,,,,,,,,,,,,,,,,,,,,H,1526,1813
204,1526,1758,232,Mughal Empire,,Mughal Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1526,1758
205,1528,1855,327,Johor Empire,,Johor Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1528,1855
206,1529,1736,207,Madurai Nayak dynasty,,Madurai Nayak dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,1529,1736
207,1532,1673,141,Thanjavur Nayak dynasty,,Thanjavur Nayak dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,1532,1673
208,1534,1980,446,French colonial empire,,French colonial empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1534,1980
209,1536,1953,417,Danish colonial empire,,Danish colonial empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1536,1953
210,1537,1867,330,Kaabu Empire,,Kaabu Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1537,1867
211,1538,1556,18,Sur Empire,,Sur Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1538,1556
212,1554,1659,105,Saadi dynasty,,Saadi dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,1554,1659
213,1568,1975,407,Dutch Empire,,Dutch Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1568,1975
214,1569,1795,226,Polish Lithuanian Commonwealth,,Polish Lithuanian Commonwealth,,10,,,,,,,,,,,,,,,,,,,,,,H,1569,1795
215,1587,1755,168,Mataram Sultanate,,Mataram Sultanate,,10,,,,,,,,,,,,,,,,,,,,,,H,1587,1755
